transaction_id,customer_id,product,amount,currency,timestamp
TXN001,C100,Laptop,1299.99,USD,2024-01-15 10:30:00
TXN002,C101,Keyboard,89.99,USD,2024-01-15 10:31:00
TXN003,C102,Monitor,549.99,USD,2024-01-15 10:32:00
TXN004,C100,Mouse,29.99,USD,2024-01-15 10:33:00
TXN005,C103,Headphones,199.99,USD,2024-01-15 10:34:00
TXN006,C101,Webcam,79.99,EUR,2024-01-15 10:35:00
TXN007,C104,SSD,119.99,USD,2024-01-15 10:36:00
TXN008,C102,RAM,64.99,USD,2024-01-15 10:37:00
TXN009,C105,Tablet,449.99,USD,2024-01-15 10:38:00
TXN010,C103,Charger,24.99,USD,2024-01-15 10:39:00
TXN011,C106,Laptop,1399.99,EUR,2024-01-15 10:40:00
TXN012,C100,Cable,9.99,USD,2024-01-15 10:41:00
TXN013,C107,Printer,299.99,USD,2024-01-15 10:42:00
TXN014,C101,Speakers,149.99,USD,2024-01-15 10:43:00
TXN015,C108,Monitor,599.99,USD,2024-01-15 10:44:00
TXN016,C104,Keyboard,109.99,EUR,2024-01-15 10:45:00
TXN017,C109,Mouse,39.99,USD,2024-01-15 10:46:00
TXN018,C105,Laptop,1199.99,USD,2024-01-15 10:47:00
TXN019,C110,Headphones,249.99,USD,2024-01-15 10:48:00
TXN020,C102,Webcam,69.99,USD,2024-01-15 10:49:00
TXN021,C106,SSD,139.99,USD,2024-01-15 10:50:00
TXN022,C103,Tablet,399.99,EUR,2024-01-15 10:51:00
TXN023,C111,RAM,74.99,USD,2024-01-15 10:52:00
TXN024,C107,Charger,19.99,USD,2024-01-15 10:53:00
TXN025,C100,Cable,12.99,USD,2024-01-15 10:54:00
TXN026,C108,Printer,349.99,USD,2024-01-15 10:55:00
TXN027,C112,Speakers,179.99,EUR,2024-01-15 10:56:00
TXN028,C104,Monitor,649.99,USD,2024-01-15 10:57:00
TXN029,C109,Keyboard,129.99,USD,2024-01-15 10:58:00
TXN030,C101,Mouse,34.99,USD,2024-01-15 10:59:00
TXN031,C113,Laptop,1499.99,USD,2024-01-15 11:00:00
TXN032,C105,Headphones,159.99,USD,2024-01-15 11:01:00
TXN033,C110,Webcam,89.99,EUR,2024-01-15 11:02:00
TXN034,C106,SSD,149.99,USD,2024-01-15 11:03:00
TXN035,C111,Tablet,479.99,USD,2024-01-15 11:04:00
TXN036,C102,RAM,84.99,USD,2024-01-15 11:05:00
TXN037,C114,Charger,29.99,USD,2024-01-15 11:06:00
TXN038,C103,Cable,14.99,EUR,2024-01-15 11:07:00
TXN039,C107,Printer,279.99,USD,2024-01-15 11:08:00
TXN040,C112,Speakers,199.99,USD,2024-01-15 11:09:00
TXN041,C108,Monitor,699.99,USD,2024-01-15 11:10:00
TXN042,C100,Keyboard,99.99,USD,2024-01-15 11:11:00
TXN043,C115,Mouse,44.99,EUR,2024-01-15 11:12:00
TXN044,C109,Laptop,1349.99,USD,2024-01-15 11:13:00
TXN045,C104,Headphones,219.99,USD,2024-01-15 11:14:00
TXN046,C113,Webcam,74.99,USD,2024-01-15 11:15:00
TXN047,C106,SSD,159.99,USD,2024-01-15 11:16:00
TXN048,C110,Tablet,429.99,EUR,2024-01-15 11:17:00
TXN049,C111,RAM,69.99,USD,2024-01-15 11:18:00
TXN050,C105,Charger,22.99,USD,2024-01-15 11:19:00
TXN051,C114,Cable,11.99,USD,2024-01-15 11:20:00
TXN052,C107,Printer,319.99,EUR,2024-01-15 11:21:00
TXN053,C115,Speakers,169.99,USD,2024-01-15 11:22:00
TXN054,C102,Monitor,579.99,USD,2024-01-15 11:23:00
TXN055,C112,Keyboard,119.99,USD,2024-01-15 11:24:00
TXN056,C103,Mouse,49.99,USD,2024-01-15 11:25:00
TXN057,C100,Laptop,1249.99,EUR,2024-01-15 11:26:00
TXN058,C108,Headphones,189.99,USD,2024-01-15 11:27:00
TXN059,C113,Webcam,84.99,USD,2024-01-15 11:28:00
TXN060,C109,SSD,129.99,USD,2024-01-15 11:29:00
TXN061,C106,Tablet,459.99,USD,2024-01-15 11:30:00
TXN062,C111,RAM,79.99,EUR,2024-01-15 11:31:00
TXN063,C104,Charger,34.99,USD,2024-01-15 11:32:00
TXN064,C115,Cable,16.99,USD,2024-01-15 11:33:00
TXN065,C110,Printer,289.99,USD,2024-01-15 11:34:00
TXN066,C107,Speakers,159.99,USD,2024-01-15 11:35:00
TXN067,C114,Monitor,629.99,EUR,2024-01-15 11:36:00
TXN068,C102,Keyboard,139.99,USD,2024-01-15 11:37:00
TXN069,C112,Mouse,54.99,USD,2024-01-15 11:38:00
TXN070,C105,Laptop,1449.99,USD,2024-01-15 11:39:00
TXN071,C103,Headphones,229.99,USD,2024-01-15 11:40:00
TXN072,C100,Webcam,94.99,EUR,2024-01-15 11:41:00
TXN073,C113,SSD,169.99,USD,2024-01-15 11:42:00
TXN074,C108,Tablet,499.99,USD,2024-01-15 11:43:00
TXN075,C106,RAM,89.99,USD,2024-01-15 11:44:00
TXN076,C109,Charger,27.99,USD,2024-01-15 11:45:00
TXN077,C111,Cable,13.99,EUR,2024-01-15 11:46:00
TXN078,C104,Printer,339.99,USD,2024-01-15 11:47:00
TXN079,C115,Speakers,189.99,USD,2024-01-15 11:48:00
TXN080,C110,Monitor,659.99,USD,2024-01-15 11:49:00
TXN081,C107,Keyboard,149.99,USD,2024-01-15 11:50:00
TXN082,C114,Mouse,59.99,EUR,2024-01-15 11:51:00
TXN083,C102,Laptop,1549.99,USD,2024-01-15 11:52:00
TXN084,C112,Headphones,209.99,USD,2024-01-15 11:53:00
TXN085,C105,Webcam,99.99,USD,2024-01-15 11:54:00
TXN086,C103,SSD,179.99,USD,2024-01-15 11:55:00
TXN087,C100,Tablet,519.99,EUR,2024-01-15 11:56:00
TXN088,C113,RAM,94.99,USD,2024-01-15 11:57:00
TXN089,C108,Charger,32.99,USD,2024-01-15 11:58:00
TXN090,C106,Cable,18.99,USD,2024-01-15 11:59:00
TXN091,C109,Printer,359.99,EUR,2024-01-15 12:00:00
TXN092,C115,Speakers,209.99,USD,2024-01-15 12:01:00
TXN093,C111,Monitor,719.99,USD,2024-01-15 12:02:00
TXN094,C104,Keyboard,159.99,USD,2024-01-15 12:03:00
TXN095,C110,Mouse,64.99,USD,2024-01-15 12:04:00
TXN096,C107,Laptop,1599.99,EUR,2024-01-15 12:05:00
TXN097,C114,Headphones,239.99,USD,2024-01-15 12:06:00
TXN098,C102,Webcam,109.99,USD,2024-01-15 12:07:00
TXN099,C112,SSD,189.99,USD,2024-01-15 12:08:00
TXN100,C105,Tablet,539.99,USD,2024-01-15 12:09:00
